t,accCmpX,accCmpY,accCmpZ
395,8.17859,4.04642,-14.1433
396,9.58,0.824654,-12.7654
397,8.90589,-3.54539,-10.1261
398,6.29395,-7.2132,-8.01037
399,7.5138,-5.99352,-8.50841
400,8.44052,-4.63811,-9.00658
401,9.12469,-3.12477,-9.60642
402,9.54617,-1.51595,-10.2546
403,8.98498,-2.28011,-5.21597
404,8.56928,-0.652055,-1.95497
405,8.02111,2.84328,-3.8422
406,7.34852,5.89668,-9.21853
407,6.56227,5.85918,-14.507
408,3.4478,1.17864,-14.9923
409,-0.401526,-6.68857,-11.2136
410,-4.22596,-8.95381,-11.5621
411,-7.41716,-3.93608,-17.1183
412,-9.46764,0.8529,-20.2336
413,-10.0525,-0.450503,-15.4121
414,-8.01914,-5.8773,-11.3947
415,-3.27847,-8.16303,-10.1781
416,2.53321,-5.41976,-13.8446
417,7.37417,-0.91841,-19.1063
418,9.54997,0.322936,-20.9373
419,9.18159,1.28468,-18.1847
420,8.60794,2.87415,-16.4013
421,7.77147,4.73039,-14.3084
422,6.69872,6.52617,-12.233
423,5.42499,7.93856,-10.4963
424,6.1703,7.01514,-9.63195
425,6.81355,5.26145,-7.11855
426,7.39858,3.01847,-4.88983
427,7.92045,0.758716,-3.41986
428,8.37542,-1.09219,-3.07318
429,3.71691,-1.94141,-2.64431
430,-2.58082,-3.00313,-8.5434
431,-7.92083,-2.17296,-13.0833
432,-10.0826,0.747255,-14.4412
433,-8.16718,4.68314,-12.3948
434,-7.50606,-1.35109,-4.96624
435,4.75654,7.37934,-9.80513
436,9.05703,2.80358,-8.42468
437,-1.43585,-2.78703,-10.9519
438,-10.0007,-0.571915,-20.2062
439,-9.59709,-2.17362,-17.7573
440,-8.7362,-3.38717,-16.9551
441,-7.46917,-4.52069,-15.8479
442,-5.85445,-5.5115,-14.4977
443,-3.97055,-6.29914,-12.9796
444,-5.76958,-3.54847,-15.2122
445,-7.19171,-1.76373,-16.971
446,-8.37925,-0.269613,-18.432
447,-9.29416,0.726604,-19.3877
448,-9.9078,1.08793,-19.6994
449,-10.204,0.766385,-19.3199
450,-10.2146,0.983626,-19.6375
451,-10.0486,1.36492,-19.4517
452,-9.81422,1.75233,-19.205
453,-9.84956,1.71413,-17.9541
