t,accX,accY,accZ
502,-0.75537,0.08829000000000001,-10.65366
503,-0.7455600000000001,0.10791000000000002,-10.76157
504,-0.7455600000000001,0.10791000000000002,-10.76157
505,-0.7455600000000001,0.10791000000000002,-10.76157
506,-0.7455600000000001,0.10791000000000002,-10.76157
507,-0.7455600000000001,0.10791000000000002,-10.76157
508,-0.7455600000000001,0.10791000000000002,-10.76157
509,-0.67689,0.26487,-9.211590000000001
510,-0.67689,0.26487,-9.211590000000001
511,-0.67689,0.26487,-9.211590000000001
512,-0.67689,0.26487,-9.211590000000001
513,-0.67689,0.26487,-9.211590000000001
514,-0.69651,-0.02943,-10.07487
515,-0.69651,-0.02943,-10.07487
516,-0.6376499999999999,0.12753,-9.868860000000002
517,-0.6376499999999999,0.12753,-9.868860000000002
518,-0.6278400000000001,-0.3924,-11.33055
519,-0.6278400000000001,-0.3924,-11.33055
520,-0.6278400000000001,-0.3924,-11.33055
521,-0.5395500000000001,-0.33354,-9.42741
522,-0.5395500000000001,-0.33354,-9.42741
523,-0.5493600000000001,0.18639000000000003,-7.553700000000001
524,-0.5493600000000001,0.18639000000000003,-7.553700000000001
525,-0.5395500000000001,-0.039240000000000004,-7.955910000000001
526,-0.5395500000000001,-0.039240000000000004,-7.955910000000001
527,-0.5395500000000001,-0.039240000000000004,-7.955910000000001
528,-0.5395500000000001,-0.039240000000000004,-7.955910000000001
529,-0.5199300000000001,0.67689,-7.485030000000001
530,-0.6376499999999999,0.17658000000000001,-11.409030000000001
531,-0.6376499999999999,0.17658000000000001,-11.409030000000001
532,-0.6376499999999999,0.17658000000000001,-11.409030000000001
533,-0.30411000000000005,-0.45126000000000005,-9.92772
534,-0.30411000000000005,-0.45126000000000005,-9.92772
535,-0.35316000000000003,-0.039240000000000004,-6.435360000000001
536,-0.35316000000000003,-0.039240000000000004,-6.435360000000001
537,-0.35316000000000003,-0.039240000000000004,-6.435360000000001
538,-0.4905,0.10791000000000002,-9.40779
539,-0.4905,0.10791000000000002,-9.40779
540,-0.37278000000000006,0.15696000000000002,-9.53532
541,-0.37278000000000006,0.15696000000000002,-9.53532
542,-0.34335000000000004,0.04905,-9.17235
543,-0.34335000000000004,0.04905,-9.17235
544,-0.34335000000000004,0.04905,-9.17235
545,-0.40221000000000007,-0.21582000000000004,-9.721710000000002
546,-0.40221000000000007,-0.21582000000000004,-9.721710000000002
547,-0.3924,-0.28449,-6.386310000000001
548,-0.3924,-0.28449,-6.386310000000001
549,-0.3924,-0.28449,-6.386310000000001
550,-0.5984100000000001,-0.30411000000000005,-11.20302
551,-0.5984100000000001,-0.30411000000000005,-11.20302
552,-0.47088,-0.28449,-7.622370000000001
553,-0.47088,-0.28449,-7.622370000000001
