t,velX,velY,velZ,velAir,vel
273,0.107621,-0.876875,-1.04844,14.5103,14.5103
274,0.294802,-0.763648,-1.22337,14.98,14.98
275,0.461937,0.104356,-1.52854,16.7303,16.7303
276,0.610277,0.681622,-1.24737,18.846,18.846
277,0.650707,0.740151,-0.935214,19.3991,19.3991
278,0.6837,0.637455,-0.656223,19.4843,19.4843
279,0.715058,0.450373,-0.406248,19.3972,19.3972
280,0.744715,0.218373,-0.232842,19.2094,19.2094
281,0.711143,0.606376,-0.670558,19.4623,19.4623
282,0.813547,0.452899,-0.527223,19.5453,19.5453
283,0.887324,0.284641,-0.343455,19.6367,19.6367
284,0.936406,0.137602,-0.181782,19.7369,19.7369
285,0.965757,-0.0240465,-0.195203,19.5192,19.5192
286,0.886233,-0.166363,-0.232161,18.9494,18.9494
287,0.740986,-0.171483,-0.230691,18.4702,18.4702
288,0.552057,-0.0617962,-0.388162,17.8559,17.8559
289,0.300929,-0.134472,-0.671444,16.6458,16.6458
290,0.0132065,-0.190878,-0.956484,15.4938,15.4938
291,-0.276747,-0.231071,-1.23813,14.4961,14.4961
292,-0.54321,-0.242852,-1.48945,13.7385,13.7385
293,-0.600377,-0.696019,-1.23755,13.042,13.042
294,-0.646236,-0.733971,-0.793286,13.4804,13.4804
295,-0.577004,-0.681932,-0.709442,13.803,13.803
296,-0.497656,-0.531162,-0.641026,14.2881,14.2881
297,-0.414213,-0.266718,-0.55242,15.045,15.045
298,-0.32065,0.0190798,-0.625046,15.6921,15.6921
299,-0.405493,-0.177295,-0.831684,14.8365,14.8365
300,-0.475942,-0.318746,-0.782374,14.4989,14.4989
301,-0.544271,-0.437882,-0.75555,14.1996,14.1996
302,-0.497002,0.122573,-0.565691,15.7254,15.7254
303,-0.44484,0.653932,-0.743451,17.0453,17.0453
304,-0.413845,0.613086,-0.768464,16.9328,16.9328
305,-0.370475,0.537012,-0.778729,16.7552,16.7552
306,-0.326621,0.449573,-0.798699,16.5466,16.5466
307,-0.155663,0.851469,-0.895944,17.9985,17.9985
308,0.0542208,0.731088,-1.04319,17.8422,17.8422
309,0.257252,0.564543,-1.21834,17.6179,17.6179
310,0.158681,0.0130154,-1.23574,15.9686,15.9686
311,0.0634789,-0.559431,-1.12063,14.7765,14.7765
312,-0.0334099,-0.933988,-1.03093,14.1064,14.1064
313,0.0167152,-0.99086,-0.972064,14.2289,14.2289
314,0.0808664,-0.937387,-0.924981,14.5139,14.5139
315,0.144102,-0.781544,-0.843583,14.9801,14.9801
316,0.490424,-0.709266,-1.27915,15.5837,15.5837
317,0.754315,0.0955904,-1.76296,17.4642,17.4642
318,0.896583,0.14565,-1.04972,18.5767,18.5767
319,0.888533,0.138639,-1.78423,18.0069,18.0069
320,0.831357,0.259496,-1.62046,18.1704,18.1704
321,0.726924,0.349919,-1.56788,18.0746,18.0746
322,0.586761,0.408615,-1.47668,17.8566,17.8566
323,0.504645,0.688326,-1.26529,18.564,18.564
324,0.415034,0.853298,-1.01562,19.0646,19.0646
325,0.357921,0.740153,-1.22023,18.3879,18.3879
326,0.297761,0.331465,-1.30247,17.0087,17.0087
327,-0.215791,0.40269,-1.01717,16.3619,16.3619
328,-0.68108,0.398047,-0.63081,16.0849,16.0849
329,-0.983857,0.218723,-0.43845,15.5153,15.5153
330,-0.216158,0.791106,-0.372963,18.3397,18.3397
331,0.688888,-0.352722,0.335502,19.1232,19.1232
332,0.761379,-0.569628,-1.15584,16.786,16.786
333,0.841889,-0.177811,-1.91241,17.1525,17.1525
334,0.892124,0.0788413,-1.76538,17.9059,17.9059
335,0.895675,0.111856,-1.62297,18.0714,18.0714
336,0.898931,0.0876871,-1.67918,17.9989,17.9989
