t,accCmpX,accCmpY,accCmpZ
413,11.1086,3.60273,-11.7589
414,11.7287,0.934584,-8.38302
415,11.5117,-1.61805,-5.50622
416,10.4898,-2.95456,-3.83744
417,8.67886,-3.50154,-3.49616
418,6.30621,-2.86155,-5.16695
419,3.54999,-1.3934,-7.67447
420,-1.95369,0.751422,-14.4147
421,-6.25188,1.66583,-18.3875
422,-7.72849,0.442087,-19.0359
423,-6.86574,-1.34991,-18.0399
424,-4.67173,-2.79557,-16.595
425,-1.89884,-4.02601,-14.0011
426,1.38418,-4.86403,-11.0872
427,0.223977,-3.68074,-12.2709
428,-0.823316,-2.55924,-13.3519
429,2.57117,-4.75535,-10.1636
430,5.89321,-6.01657,-7.77404
431,10.4976,-3.96581,-4.94377
432,12.1536,0.401738,-5.04985
433,10.3417,5.53207,-6.98934
434,9.10061,6.43404,-6.58198
435,7.41117,6.97977,-6.92277
436,7.78601,5.51243,-6.00742
437,8.16047,3.69521,-4.96162
438,9.22483,2.14788,-3.43143
439,10.1369,0.775194,-2.30867
440,10.9084,-0.24553,-1.55373
441,9.29426,-1.37309,-3.46755
442,7.29572,-2.85716,-5.61347
443,2.17592,-0.321689,-9.69384
444,-2.82184,2.40239,-14.5137
445,-6.35077,2.70183,-16.7806
446,-2.38266,2.08153,-14.5309
447,3.13614,-1.08313,-9.14176
448,7.15319,-3.25532,-5.40021
449,10.2883,-3.64234,-3.73357
450,12.0632,-1.65798,-4.45702
451,12.18,-0.980338,-4.77137
452,12.2695,-0.353503,-4.9257
453,12.0773,-0.605678,-1.74877
454,11.9193,-0.295428,-0.226115
455,10.8676,-0.530113,-0.675623
456,9.00844,0.440977,-2.48853
457,6.5613,2.00999,-5.027
458,6.93987,-0.745172,-4.44789
459,7.30402,-3.4472,-4.52754
460,8.26473,-4.6711,-5.11383
461,9.13848,-5.34828,-5.43223
462,9.92318,-5.4821,-6.28318
463,9.90341,-5.0868,-5.51703
464,9.95211,-4.77188,-5.01231
465,11.7542,-2.36732,-4.90449
466,12.2765,0.61551,-5.19439
467,11.5184,3.78001,-6.09417
468,9.12647,6.8372,-7.34246
469,5.53296,8.76873,-8.82211
470,8.24459,6.11928,-5.45301
471,10.4321,2.95863,-2.32083
472,11.8069,0.773407,-0.165563
473,11.9598,0.171053,0.242496
474,12.0561,0.033991,0.36122
475,10.32,2.37555,-1.44018
476,3.22769,7.0043,-8.19676
477,5.96685,3.91696,-6.10996
478,8.42855,0.552695,-3.38366
479,10.4053,-1.59829,-1.90291
480,8.3647,1.42598,-3.00519
481,5.81623,5.89057,-6.19274
482,5.28028,7.10017,-7.25636
483,4.75064,8.2528,-7.95462
484,9.41612,5.33233,-5.22311
485,12.0201,1.59151,-2.1884
486,10.1908,-1.37445,-2.08246
487,2.56227,1.40487,-9.47595
488,-5.18171,3.15728,-16.226
489,9.5979,-1.30612,-1.55848
490,8.14427,6.44249,-5.14056
491,-6.23211,4.62571,-7.88693
492,5.29808,7.03655,-7.94644
493,12.1975,0.199868,-0.144274
494,11.1009,1.80882,0.90661
495,6.74965,5.15961,-3.75617
496,5.20522,5.82069,-7.49952
497,3.68149,6.98573,-8.7946
498,2.12876,7.88122,-9.82018
499,12.0608,0.128857,-0.182703
500,7.10522,6.18264,-6.48966
501,-4.88675,6.26123,-8.76607
502,-6.55052,3.75517,-7.53229
503,-7.19511,-0.507644,-11.6788
504,-5.37744,-4.33458,-13.8862
505,-1.60835,-5.18922,-13.1636
506,-5.76174,-1.87005,-15.1157
507,-7.31809,0.546364,-17.3498
508,8.53405,-3.23115,-4.47208
509,4.85824,7.86725,-8.79204
510,-6.4136,-4.29797,-9.41753
511,2.03169,-8.79747,-10.0839
512,10.9901,-3.3024,-16.575
513,10.1701,-3.82006,-14.6386
514,9.09234,-4.71402,-13.7473
515,8.18377,-4.11973,-13.5297
516,7.19686,-3.29185,-13.1064
517,6.14487,-2.16049,-12.3771
518,8.84821,1.70635,-15.1991
519,10.942,3.49575,-15.4311
520,12.1325,2.14748,-12.4455
521,10.3782,-5.50439,-8.02207
522,3.0353,-7.47333,-8.81271
523,7.4735,-8.21639,-8.98048
524,10.875,-4.6191,-12.5708
525,12.3801,-1.08089,-14.703
526,12.0448,2.2103,-15.7709
527,10.0849,4.33342,-15.4086
528,9.89176,4.71796,-14.958
529,9.75454,4.87693,-14.8008
530,1.41947,0.30291,-8.07069
531,-5.9703,-3.10109,-2.95104
532,-6.42586,4.18597,-8.58218
533,-6.7182,3.29687,-10.708
534,-6.97585,2.29652,-12.3533
535,-6.4055,3.54502,-14.8338
536,-5.43886,3.45804,-16.2149
537,-5.13057,3.53069,-16.4264
538,-4.80122,3.91461,-16.0275
539,-4.45179,4.30292,-15.6193
540,-3.61542,3.94683,-14.4754
541,-2.67375,3.22098,-13.9923
542,-3.37522,5.39971,-13.9988
543,-4.07415,6.55251,-12.5579
544,-4.71573,6.60111,-10.2745
545,-5.29408,5.68909,-7.4652
546,-5.80406,4.13095,-4.58637
547,-6.08158,4.23034,-4.85945
548,-6.35279,3.97557,-5.92086
549,-6.58724,3.56948,-7.13091
550,-6.78413,3.04468,-8.45126
551,-6.94276,2.43904,-9.8388
552,-6.87657,2.45889,-9.11323
553,-6.86969,2.47863,-8.27106
554,-6.86325,2.47821,-7.43628
555,-6.85725,2.45726,-6.61557
556,-6.85176,2.41553,-5.81499
557,-4.00977,7.35045,-11.86
558,1.09451,4.80049,-10.7555
559,6.71475,-2.00642,-5.47012
560,10.9722,-3.82337,-5.2139
561,12.4443,0.959067,-11.5582
562,10.8782,5.59346,-10.6695
563,7.0557,9.07938,-9.70881
564,8.1464,8.30227,-9.60227
565,9.16751,7.49512,-9.7051
566,10.0717,6.55526,-9.85447
567,11.6778,3.60108,-8.25828
568,12.4979,-0.799064,-7.73613
569,10.9814,-4.92404,-7.46159
570,7.65634,-7.7372,-8.08161
571,3.25128,-8.64596,-9.6628
572,0.911475,-6.92235,-9.91823
573,-1.29548,-4.59375,-12.0794
574,3.8756,-6.5758,-7.95194
575,8.72822,-6.06721,-5.07664
576,5.97495,-5.14531,-6.68779
577,2.94776,-3.2855,-9.07288
578,-1.71718,1.37613,-13.6821
579,-5.3655,3.63071,-15.538
580,-7.09229,1.11411,-12.6308
581,-4.92853,4.4207,-14.8472
582,-0.403871,2.37695,-12.1668
583,5.09163,-2.29774,-6.84087
584,1.44606,-1.87384,-11.0863
585,-2.01625,-1.0171,-14.5353
586,-2.29988,0.239176,-14.7094
587,-2.67045,1.33653,-15.0253
588,0.679965,-0.192359,-11.1271
589,4.44164,-2.17719,-7.43813
590,-1.89347,-3.62939,-4.36372
591,-6.27006,3.9181,-11.2474
592,-6.63423,2.67258,-13.3128
593,9.74861,5.54678,-3.92911
594,5.07297,-4.039,-6.87237
595,-6.72695,1.45126,-18.0204
596,1.6462,-2.27442,-10.3323
597,11.3476,-2.89982,-4.01765
598,8.92688,7.5644,-5.60437
599,-3.69783,7.70051,-11.4593
600,-5.60092,-3.81222,-11.6089
601,4.71026,-6.19364,-7.67409
602,12.4997,0.120857,0.115914
603,12.4593,-1.33132,-6.02337
604,11.3195,-2.74383,-17.3967
605,4.99508,4.06245,-11.6893
606,-2.59734,8.12246,-9.73122
607,-2.22546,-3.34854,-15.6438
608,-1.55081,-5.51331,-7.68288
609,-0.573834,9.02554,-10.1334
610,5.85888,3.93783,-8.47806
611,11.1141,-4.15496,-6.68244
612,11.8095,-3.24156,-11.0197
613,12.2921,-1.52567,-16.039
614,12.5768,0.193072,-19.8763
615,9.62181,-3.77052,-16.431
616,1.3813,-9.37892,-10.967
617,-5.90994,-1.44106,-18.8246
618,-6.69572,2.10676,-18.957
619,-5.85939,-3.97349,-6.13173
620,0.50551,4.66975,-9.44585
621,8.43301,7.31856,-9.21835
622,11.752,1.12694,-2.42481
623,0.814551,10.1011,-11.4414
624,-7.15474,0.00247223,-3.12985
625,2.00312,4.51339,-10.7366
626,12.2771,-1.60373,-10.0012
627,-1.21723,-3.38338,-14.0076
628,-5.18882,-4.09209,-16.2083
629,10.3286,-5.83831,-12.3229
630,6.84024,4.97267,-15.035
631,2.877,2.00224,-9.93549
632,-1.11532,-1.17287,-5.97614
633,-6.70513,-2.15292,-4.56329
634,-5.38348,5.53844,-10.9267
635,2.01012,7.03089,-11.1207
636,12.31,-0.475558,-0.748525
637,-0.962654,1.06859,-13.4463
638,-6.38297,-1.07783,-18.2461
639,6.68406,-4.94061,-6.57874
640,11.4986,3.57472,-4.12215
641,2.92596,7.10796,-9.00509
642,-5.92819,3.29077,-15.5576
643,-5.65792,-3.19726,-15.7675
644,10.293,-2.55314,-2.38635
645,6.24421,1.62629,-5.81974
646,-5.94024,-0.788313,-17.4056
647,-3.36677,4.2504,-14.0641
648,9.46225,5.79228,-4.98482
649,12.1051,-2.32227,-5.4475
650,4.99126,-9.36322,-8.70196
651,4.54685,-9.53941,-9.20185
652,4.12211,-9.64887,-9.31192
653,-1.68125,-8.72733,-8.35035
654,-5.95363,-4.52331,-7.33119
655,-6.58538,3.26756,-7.24932
656,-1.41503,8.61142,-8.08004
657,6.34778,8.44544,-11.0704
658,12.2493,1.78014,-15.9817
659,10.5396,-2.06274,-16.2498
660,2.63272,0.286762,-8.83269
661,1.81638,1.67077,-8.55651
662,1.07263,2.85926,-7.86635
663,1.93271,3.99137,-8.60918
664,2.79934,5.12785,-9.39974
665,3.6632,6.14211,-10.0729
666,1.40699,6.57509,-8.457
667,-0.824154,6.29176,-6.74646
668,-4.17401,4.14455,-3.22031
669,-6.36845,1.98836,-1.0213
670,-6.9747,0.726432,-1.44917
671,-7.03103,0.0110771,-0.961406
672,-6.90879,-0.381672,-1.1578
673,-6.83378,-0.817881,-1.93614
674,-6.73725,-1.35244,-2.9349
675,-7.09087,0.388502,-1.35016
676,-6.73176,1.4888,-1.0709
677,-6.72915,-1.06074,-0.962121
678,-4.0716,-3.12025,-3.32751
679,0.514483,-4.26919,-7.40395
680,4.41357,-4.15673,-11.3559
681,8.05598,-3.50856,-14.5859
682,1.18395,-4.29221,-7.60123
683,-4.9138,-2.60288,-2.09634
684,-6.88036,0.0800017,0.697182
685,-6.93057,-0.301995,0.395626
686,-5.1558,-3.31537,-2.58946
687,-5.22293,2.54249,-2.11967
688,5.51557,2.38519,-12.0066
689,-1.24956,2.67557,-5.54448
690,-6.03776,1.54928,-1.07394
691,-6.68128,-0.727013,-0.614562
692,0.2288,-3.71176,-5.9408
693,9.71357,-3.01573,-14.4359
694,8.13579,-3.99198,-13.8977
695,6.47974,-4.8586,-12.3587
696,11.3304,-3.20259,-15.0068
697,12.6975,1.14561,-14.5204
698,10.1956,6.42946,-11.8836
699,2.71558,9.83479,-9.22526
700,-4.58586,6.61867,-9.60528
701,-6.60713,2.65734,-10.6469
702,-6.60668,-1.83351,-11.9053
703,-4.4598,-5.41793,-12.1496
704,-5.98519,-3.82192,-12.4106
705,-6.80893,-1.69618,-12.0774
706,-6.703,-1.54972,-8.61606
707,-6.76915,-1.00173,-5.50278
708,-5.34575,-5.03414,-6.5447
709,-2.02087,-8.1156,-7.68475
710,1.01843,-9.43841,-9.5124
711,4.16529,-9.63772,-9.75356
712,7.1951,-8.66588,-9.17234
713,3.94498,-9.65168,-8.80372
714,0.571641,-9.38005,-9.37084
715,-3.56546,-6.73099,-11.7308
716,-6.21914,-3.06967,-13.1471
717,-6.92564,1.13409,-14.175
718,-6.30547,-2.54348,-13.6505
719,-4.02723,-4.94574,-13.1966
720,-0.468193,-5.75363,-11.2093
721,0.64879,-4.13734,-11.8541
722,5.28081,-4.79201,-7.19298
723,9.345,-4.08547,-3.85966
724,11.9938,-2.20194,-1.93569
725,12.5929,-0.295657,-0.644279
726,12.5012,0.732167,-0.152249
727,10.1213,-2.11429,-2.73151
728,1.90995,-3.57211,-10.3518
729,-5.46749,-1.83203,-16.9766
730,-4.94207,-3.77934,-14.606
731,-4.20511,-5.60368,-12.4836
732,-5.61673,4.46713,-12.3601
733,4.80063,9.48046,-8.38724
734,12.7613,1.45964,-7.31947
735,12.1514,-3.20221,-9.71149
736,9.57625,-6.78063,-11.009
