t,velX,velY,velZ,velAir,vel
7527,-0.32219,-0.151816,-1.0343,14.7927,14.7927
7528,-0.90554,-0.401619,-1.36107,12.962,12.962
7529,-1.04869,-0.226626,-0.643172,14.0653,14.0653
7530,-1.06704,0.0585481,0.0586797,16.0007,16.0007
7531,-0.96129,-0.181916,0.00772463,15.4935,15.4935
7532,-0.746861,-0.6432,-0.466377,13.9999,13.9999
7533,-0.450797,-0.929373,-0.832928,13.4837,13.4837
7534,-1.08591,-0.0270883,-1.43505,13.4994,13.4994
7535,-0.439331,0.0462306,-1.0757,14.9816,14.9816
7536,-0.963556,0.0656539,-1.73174,13.6398,13.6398
7537,-1.0692,-0.0668289,-1.81796,13.0956,13.0956
7538,-0.708029,-0.281273,-1.45294,13.4175,13.4175
7539,0.562533,-0.277004,-0.238972,17.7469,17.7469
7540,0.708522,0.204273,-0.113222,19.2633,19.2633
7541,-0.513897,0.370524,-1.22886,15.5557,15.5557
7542,-1.06738,0.175912,-1.64558,13.8798,13.8798
7543,-0.928416,-0.350579,-1.45415,12.9409,12.9409
7544,-1.10147,-0.0445205,-1.77973,13.1411,13.1411
7545,-0.948878,0.14607,-1.72067,13.8852,13.8852
7546,-1.02451,0.228008,-1.74295,14.0055,14.0055
7547,-1.07087,0.215179,-1.50576,14.1033,14.1033
7548,-1.10097,0.122518,-1.17785,14.131,14.131
7549,-0.655902,0.819362,-1.08006,16.9479,16.9479
7550,0.143279,0.882804,-0.855278,18.7113,18.7113
7551,-0.0505527,0.935628,-1.05001,18.3337,18.3337
7552,-0.245055,0.653707,-0.955455,17.125,17.125
7553,-0.949729,0.0737101,-0.280648,15.4705,15.4705
7554,0.735401,0.367018,-1.5327,18.1664,18.1664
7555,-0.204505,-0.904698,-1.09586,13.6742,13.6742
7556,0.759001,-0.370474,-0.724732,17.5241,17.5241
7557,0.520733,0.72746,-0.9082,19.0348,19.0348
7558,0.192361,0.872306,-1.13326,18.5178,18.5178
7559,-0.181067,0.934234,-1.11776,18.0381,18.0381
7560,-0.620668,0.823841,-1.04184,17.0476,17.0476
7561,-0.959287,0.515641,-1.01606,15.6154,15.6154
7562,-1.12129,0.0881357,-0.990608,14.2336,14.2336
7563,-1.08756,-0.307491,-0.766366,13.662,13.662
7564,-0.87808,-0.625928,-0.699154,13.4463,13.4463
7565,-1.01787,-0.475396,-1.08228,12.9823,12.9823
7566,-1.10401,-0.215787,-1.53695,12.9264,12.9264
7567,-1.13583,-0.0188975,-1.8786,13.092,13.092
7568,-0.504573,0.200946,-1.45829,14.8938,14.8938
7569,0.588738,-0.0241343,-0.373645,18.0532,18.0532
7570,0.552753,0.231563,-0.395035,18.443,18.443
7571,0.520054,0.485804,-0.563842,18.7373,18.7373
7572,-0.269559,0.941834,-0.965011,18.0633,18.0633
7573,-0.981929,0.448007,-0.546949,15.9841,15.9841
7574,-1.09687,-0.134672,-0.0851167,15.2352,15.2352
7575,-0.940518,-0.523881,-0.608227,13.6841,13.6841
7576,-0.677145,-0.875602,-1.00511,12.9177,12.9177
7577,-0.826001,-0.745989,-1.11146,12.7404,12.7404
7578,-0.946325,-0.573006,-1.33792,12.5967,12.5967
7579,-1.04139,-0.369772,-1.58606,12.6208,12.6208
7580,-1.15072,0.0151023,-1.85796,13.1787,13.1787
7581,-0.974511,0.0022478,-1.77868,13.4236,13.4236
7582,-0.205459,-0.271053,-0.978042,14.8447,14.8447
7583,0.590128,-0.34338,-0.317252,17.5959,17.5959
7584,0.78223,0.19171,-0.364478,19.0753,19.0753
7585,0.66745,0.337874,-0.36634,19.0471,19.0471
7586,0.475113,0.35312,-0.435188,18.4579,18.4579
7587,0.0707441,0.502269,-0.704534,17.5509,17.5509
