timestamp(ms),GPS_RAW_INT.vel
1178709.8220214844,2671
1178809.8220214844,2671
1178909.8220214844,2669
1179009.8220214844,2669
1179109.8220214844,2670
1179209.8220214844,2670
1179309.8220214844,2670
1179409.8220214844,2669
1179509.8220214844,2669
1179609.8220214844,2664
1179709.8220214844,2664
1179809.8220214844,2664
1179909.8220214844,2669
1180009.8220214844,2669
1180109.8220214844,2669
1180209.8220214844,2670
1180309.8220214844,2670
1180409.8220214844,2665
1180509.8220214844,2665
1180609.8220214844,2661
1180709.8220214844,2661
1180809.8220214844,2661
1180909.8220214844,2663
1181009.8220214844,2663
1181109.8220214844,2663
1181209.8220214844,2660
1181309.8220214844,2660
1181409.8220214844,2659
1181509.8220214844,2659
1181609.8220214844,2660
1181709.8220214844,2660
1181809.8220214844,2655
1181909.8220214844,2655
1182009.8220214844,2655
1182109.8220214844,2656
1182209.8220214844,2656
1182309.8220214844,2656
1182409.8220214844,2652
1182509.8220214844,2652
1182609.8220214844,2655
1182709.8220214844,2655
1182809.8220214844,2652
1182909.8220214844,2652
1183009.8220214844,2652
1183109.8220214844,2643
1183209.8220214844,2643
1183309.8220214844,2654
1183409.8220214844,2654
1183509.8220214844,2654
1183609.8220214844,2653
1183709.8220214844,2653
1183809.8220214844,2653
1183909.8220214844,2658
1184009.8220214844,2658
1184109.8220214844,2656
1184209.8220214844,2656
1184309.8220214844,2665
1184409.8220214844,2665
1184509.8220214844,2665
1184609.8220214844,2667
1184709.8220214844,2667
1184809.8220214844,2657
1184909.8220214844,2657
1185009.8220214844,2657
1185109.8220214844,2661
1185209.8220214844,2661
1185309.8220214844,2661
1185409.8220214844,2666
1185509.8220214844,2666
1185609.8220214844,2663
1185709.8220214844,2663
1185809.8220214844,2663
1185909.8220214844,2663
1186009.8220214844,2663
1186109.8220214844,2665
1186209.8220214844,2665
1186309.8220214844,2665
1186409.8220214844,2659
1186509.8220214844,2659
1186609.8220214844,2664
1186709.8220214844,2664
1186809.8220214844,2664
1186909.8220214844,2660
1187009.8220214844,2660
1187109.8220214844,2657
1187209.8220214844,2657
1187309.8220214844,2657
1187409.8220214844,2646
1187509.8220214844,2646
1187609.8220214844,2640
1187709.8220214844,2640
1187809.8220214844,2629
1187909.8220214844,2629
1188009.8220214844,2615
1188109.8220214844,2615
1188209.8220214844,2615
1188309.8220214844,2597
1188409.8220214844,2597
1188509.8220214844,2597
1188609.8220214844,2590
1188709.8220214844,2590
1188809.8220214844,2581
1188909.8220214844,2581
1189009.8220214844,2581
1189109.8220214844,2569
1189209.8220214844,2569
1189309.8220214844,2567
1189409.8220214844,2567
1189509.8220214844,2567
1189609.8220214844,2557
1189709.8220214844,2557
1189809.8220214844,2554
1189909.8220214844,2554
1190009.8220214844,2554
1190109.8220214844,2552
1190209.8220214844,2552
1190309.8220214844,2556
1190409.8220214844,2556
1190509.8220214844,2556
1190609.8220214844,2556
1190709.8220214844,2556
1190809.8220214844,2554
1190909.8220214844,2554
1191009.8220214844,2566
1191109.8220214844,2566
1191209.8220214844,2566
1191309.8220214844,2578
1191409.8220214844,2578
1191509.8220214844,2584
1191609.8220214844,2584
1191709.8220214844,2584
