timestamp(ms),NAV_CONTROLLER_OUTPUT.target_bearing
290755.30712890625,
290855.30712890625,
290955.30712890625,
291055.30712890625,
291155.30712890625,
291255.30712890625,
291355.30712890625,
291455.30712890625,
291555.30712890625,
291655.30712890625,
291755.30712890625,
291855.30712890625,
291955.30712890625,
292055.30712890625,
292155.30712890625,
292255.30712890625,
292355.30712890625,
292455.30712890625,
292555.30712890625,
292655.30712890625,
292755.30712890625,
292855.30712890625,
292955.30712890625,
293055.30712890625,
293155.30712890625,
293255.30712890625,
293355.30712890625,
293455.30712890625,
293555.30712890625,
293655.30712890625,
293755.30712890625,
293855.30712890625,
293955.30712890625,
294055.30712890625,
294155.30712890625,
294255.30712890625,
294355.30712890625,
294455.30712890625,
294555.30712890625,
294655.30712890625,
294755.30712890625,
294855.30712890625,
294955.30712890625,
295055.30712890625,
295155.30712890625,
295255.30712890625,
295355.30712890625,
295455.30712890625,
295555.30712890625,
295655.30712890625,
295755.30712890625,
295855.30712890625,
295955.30712890625,
296055.30712890625,
296155.30712890625,
296255.30712890625,
296355.30712890625,
296455.30712890625,
296555.30712890625,
296655.30712890625,
296755.30712890625,
296855.30712890625,
296955.30712890625,
297055.30712890625,
297155.30712890625,
297255.30712890625,
297355.30712890625,
297455.30712890625,
297555.30712890625,
297655.30712890625,
297755.30712890625,
297855.30712890625,
297955.30712890625,
298055.30712890625,
298155.30712890625,
298255.30712890625,
298355.30712890625,
298455.30712890625,
298555.30712890625,
298655.30712890625,
298755.30712890625,
298855.30712890625,
298955.30712890625,
299055.30712890625,
299155.30712890625,
299255.30712890625,
299355.30712890625,
299455.30712890625,
299555.30712890625,
299655.30712890625,
299755.30712890625,
299855.30712890625,
299955.30712890625,
300055.30712890625,
300155.30712890625,
300255.30712890625,
300355.30712890625,
300455.30712890625,
300555.30712890625,
300655.30712890625,
300755.30712890625,
300855.30712890625,
300955.30712890625,
301055.30712890625,
301155.30712890625,
301255.30712890625,
301355.30712890625,
301455.30712890625,
301555.30712890625,
301655.30712890625,
301755.30712890625,
301855.30712890625,
301955.30712890625,
302055.30712890625,
302155.30712890625,
302255.30712890625,
302355.30712890625,
302455.30712890625,
302555.30712890625,
302655.30712890625,
302755.30712890625,
302855.30712890625,
302955.30712890625,
303055.30712890625,
303155.30712890625,
303255.30712890625,
303355.30712890625,
303455.30712890625,
303555.30712890625,
303655.30712890625,
303755.30712890625,
303855.30712890625,
303955.30712890625,
304055.30712890625,
304155.30712890625,
304255.30712890625,
304355.30712890625,
304455.30712890625,
304555.30712890625,
304655.30712890625,
304755.30712890625,
304855.30712890625,
304955.30712890625,
305055.30712890625,
305155.30712890625,
305255.30712890625,
305355.30712890625,
305455.30712890625,
305555.30712890625,
305655.30712890625,
305755.30712890625,
305855.30712890625,
