timestamp(ms),GPS_RAW_INT.lat,GPS_RAW_INT.lon
1281609.8220214844,485456718,351016167
1281709.8220214844,485456718,351016167
1281809.8220214844,485456718,351016167
1281909.8220214844,485456718,351016167
1282009.8220214844,485456718,351016167
1282109.8220214844,485456718,351016167
1282209.8220214844,485457134,351014487
1282309.8220214844,485457134,351014487
1282409.8220214844,485457134,351014487
1282509.8220214844,485457134,351014487
1282609.8220214844,485457134,351014487
1282709.8220214844,485457905,351012101
1282809.8220214844,485457905,351012101
1282909.8220214844,485457905,351012101
1283009.8220214844,485457905,351012101
1283109.8220214844,485457905,351012101
1283209.8220214844,485458509,351010619
1283309.8220214844,485458509,351010619
1283409.8220214844,485458509,351010619
1283509.8220214844,485458509,351010619
1283609.8220214844,485458509,351010619
1283709.8220214844,485459537,351008589
1283809.8220214844,485459537,351008589
1283909.8220214844,485459537,351008589
1284009.8220214844,485459537,351008589
1284109.8220214844,485459537,351008589
1284209.8220214844,485460297,351007373
1284309.8220214844,485460297,351007373
1284409.8220214844,485460297,351007373
1284509.8220214844,485460297,351007373
1284609.8220214844,485460297,351007373
1284709.8220214844,485461535,351005793
1284809.8220214844,485461535,351005793
1284909.8220214844,485461535,351005793
1285009.8220214844,485461535,351005793
1285109.8220214844,485461535,351005793
1285209.8220214844,485462408,351004908
1285309.8220214844,485462408,351004908
1285409.8220214844,485462408,351004908
1285509.8220214844,485462408,351004908
1285609.8220214844,485463777,351003839
1285709.8220214844,485463777,351003839
1285809.8220214844,485463777,351003839
1285909.8220214844,485463777,351003839
1286009.8220214844,485463777,351003839
1286109.8220214844,485463777,351003839
1286209.8220214844,485464711,351003309
1286309.8220214844,485464711,351003309
1286409.8220214844,485464711,351003309
1286509.8220214844,485464711,351003309
1286609.8220214844,485464711,351003309
1286709.8220214844,485466119,351002788
1286809.8220214844,485466119,351002788
1286909.8220214844,485466119,351002788
1287009.8220214844,485466119,351002788
1287109.8220214844,485466119,351002788
1287209.8220214844,485467514,351002587
1287309.8220214844,485467514,351002587
1287409.8220214844,485467514,351002587
1287509.8220214844,485467514,351002587
1287609.8220214844,485467514,351002587
1287709.8220214844,485468414,351002643
1287809.8220214844,485468414,351002643
1287909.8220214844,485468414,351002643
1288009.8220214844,485468414,351002643
1288109.8220214844,485468414,351002643
1288209.8220214844,485469699,351002986
