t,accCmpX,accCmpY,accCmpZ
450,10.5907,-1.07691,-1.7973
451,10.1124,-0.999472,-2.38851
452,9.61868,-0.966372,-2.83644
453,10.0302,-2.98689,-2.96081
454,10.498,-4.15397,-4.69703
455,11.8234,-2.57199,-5.01126
456,12.2625,0.0354859,-6.38105
457,11.8299,2.91438,-8.0546
458,11.9496,2.48575,-4.87544
459,12.0445,1.73305,-2.22006
460,12.232,0.741448,-1.53451
461,12.2812,0.148329,-0.52269
462,12.2014,0.0102406,-0.0604275
463,12.1228,0.00659401,0.0360914
464,12.1122,-0.114528,-0.169012
465,11.0499,-0.785562,-1.488
466,8.80095,-0.93068,-3.59005
467,5.72596,-0.611508,-6.59244
468,1.59239,-0.69512,-10.9503
469,-2.38307,-0.557583,-14.9074
470,0.472844,-3.67505,-11.2418
471,3.59401,-6.44763,-8.64932
472,6.60564,-7.58113,-7.67931
473,7.02599,-8.0227,-7.49676
474,7.40011,-7.99437,-7.60488
475,12.0984,-1.67091,-9.29757
476,10.2481,5.59731,-12.1334
477,11.6199,3.94479,-10.0395
478,12.2489,1.18274,-6.47072
479,12.0745,-1.15939,-3.36333
480,12.2245,1.08672,-7.27073
481,11.5481,3.69166,-11.9403
482,11.3117,3.66135,-13.6553
483,11.0657,3.57341,-14.8316
484,12.3002,-0.21407,-14.7267
485,10.6439,-5.00806,-12.4023
486,3.20125,-9.66677,-9.56931
487,-4.75094,-5.93928,-12.7548
488,-7.29018,1.0548,-16.8249
489,2.27699,-9.69008,-8.58238
490,12.188,0.976943,-14.191
491,0.0365059,2.2199,-6.22089
492,11.3172,3.83873,-14.2172
493,8.23449,-7.31592,-8.0468
494,11.8425,-2.57432,-6.95099
495,11.932,3.29434,-9.57409
496,11.2771,3.85946,-12.8672
497,10.4896,4.77749,-13.5677
498,9.50169,5.3104,-13.8903
499,10.7928,-5.27739,-7.76428
500,-0.794312,-4.12734,-12.6638
501,-7.1678,-0.566903,-18.4806
502,-6.21549,-1.78071,-16.8732
503,-3.0978,-0.458323,-15.6489
504,1.4717,2.54703,-11.1259
505,6.30109,5.26854,-6.81603
506,0.839088,7.35635,-8.95479
507,-4.07909,6.82524,-11.1299
508,0.841188,-9.8642,-9.87784
509,11.1399,3.29269,-15.6748
510,-6.49875,0.650669,-1.25383
511,-5.06915,0.972785,-2.78878
512,4.51529,4.98469,-12.0005
513,3.0471,5.32891,-9.53152
514,1.49945,5.09829,-8.17458
515,0.360925,6.39826,-7.21883
516,-0.747889,7.28688,-6.69511
517,-1.8113,7.8274,-6.51023
518,1.1847,9.89838,-8.88785
519,4.39623,9.0602,-8.2758
520,7.41984,5.42241,-5.15156
521,12.2558,0.706639,0.466668
522,10.1956,2.5346,-1.92506
523,12.1016,-0.138688,-0.159838
524,11.8694,1.85171,-2.15194
525,10.0767,4.60351,-4.77051
526,6.83617,7.26918,-7.53716
527,2.86721,8.81945,-9.84194
528,2.60545,8.99656,-9.63624
529,2.40288,8.94301,-9.72892
530,-5.44349,5.68774,-6.95707
531,-6.78906,-1.31385,-1.13697
532,-0.54701,2.31817,-6.1839
533,-1.40332,3.72651,-6.05313
534,-2.27349,4.84706,-5.64134
535,-0.544538,7.77648,-7.67165
536,1.35168,9.66822,-9.19216
537,1.86261,9.32421,-9.9156
538,2.37523,9.24972,-10.0706
539,2.88839,9.14129,-10.2548
540,4.01618,9.51947,-9.5065
541,5.14354,9.50649,-9.40231
542,4.30774,8.74017,-10.4033
543,3.40778,6.71471,-10.2438
544,2.5002,3.71392,-9.55997
545,1.59312,0.204276,-8.64659
546,0.693952,-3.25907,-7.86497
547,0.108672,-1.70762,-6.57877
548,-0.494988,-0.328429,-5.92688
549,-1.08527,1.008,-5.34322
550,-1.65953,2.25709,-4.8677
551,-2.21561,3.37868,-4.5355
552,-2.12784,2.64936,-4.54218
553,-2.10083,1.91742,-4.46678
554,-2.07585,1.169,-4.42697
555,-2.05268,0.410436,-4.4229
556,-2.03156,-0.352228,-4.45403
557,3.46244,6.78229,-10.0012
558,8.72195,8.277,-10.2674
559,11.9595,3.19949,-4.12769
560,12.1,0.0803334,-0.143028
561,9.09844,4.33087,-3.75065
562,4.39249,3.89442,-8.31897
563,-0.764786,2.46288,-13.2628
564,0.461856,2.62518,-11.8722
565,1.75515,2.87499,-10.615
566,3.06261,3.083,-9.35876
567,6.15427,1.3773,-6.01809
568,10.1062,0.590054,-2.53582
569,12.2462,0.130593,-0.379809
570,12.3008,0.352477,-0.363067
571,10.2568,1.21788,-2.47603
572,8.54507,3.65774,-3.44442
573,6.5419,6.18185,-5.81658
574,10.6266,2.98461,-2.04605
575,12.4613,0.308198,0.229406
576,11.6596,2.67675,-2.1524
577,10.0268,5.44047,-4.80043
578,6.11961,9.12124,-8.92913
579,1.35603,8.93242,-8.85154
580,-3.10781,4.64242,-4.68726
581,2.06083,9.1245,-8.90989
582,7.4063,8.87085,-8.90756
583,11.2781,4.28198,-4.61068
584,8.95701,6.73171,-6.97812
585,5.78884,8.6119,-8.66409
586,5.46895,9.25424,-8.9309
587,5.0469,9.62377,-9.34873
588,8.33561,7.94229,-7.2551
589,10.9124,4.8945,-4.82041
590,5.97493,-8.72772,-7.85317
591,-0.501863,5.24978,-5.7306
592,-5.49498,1.82684,-16.477
593,2.28641,-4.34946,-9.27874
594,11.3925,4.01436,-2.90868
595,-5.59031,5.33754,-12.9121
596,-5.28362,-4.75345,-8.54645
597,4.87975,-6.61195,-10.613
598,12.5676,1.28914,-15.8098
599,4.04499,6.9693,-9.76004
600,-6.60111,2.58375,-0.887174
601,-3.16616,-5.83409,-5.7324
602,7.94558,-7.62371,-9.61316
603,10.5802,-1.44549,-3.28607
604,12.1278,3.08556,-6.64695
605,11.4487,-3.81677,-14.9531
606,5.32365,1.84332,-12.1725
607,5.72228,7.72942,-9.33868
608,6.41939,-7.83005,-9.30107
609,7.35955,-0.498174,-15.5381
610,11.7301,4.01815,-13.3475
611,12.205,-0.898451,-2.59957
612,11.8015,1.32169,-2.40815
613,11.1234,4.11772,-4.99321
614,10.215,6.84782,-9.04205
615,2.28695,7.08698,-10.4894
616,-5.31991,-1.49393,-3.15944
