t,velX,velY,velZ,velAir,vel
7276,0.958934,0.183337,-0.18619,19.8955,19.8955
7277,0.96457,0.176771,-0.160574,19.9412,19.9412
7278,0.96811,0.16648,-0.14888,19.9513,19.9513
7279,1.00692,0.0622943,-0.229954,19.7646,19.7646
7280,0.99816,-0.0904573,-0.306248,19.3531,19.3531
7281,0.932562,-0.274686,-0.427914,18.6511,18.6511
7282,1.00035,-0.0783858,-0.398506,19.2516,19.2516
7283,0.994976,0.152859,-0.480553,19.5487,19.5487
7284,0.954507,0.29263,-0.715396,19.4212,19.4212
7285,0.89116,0.451669,-0.94527,19.3433,19.3433
7286,0.80456,0.572386,-1.14039,19.2022,19.2022
7287,0.0405727,0.604433,-1.12564,17.3413,17.3413
7288,-0.737406,-0.0175697,-0.349009,15.404,15.404
7289,-0.614566,-0.119843,-0.528728,15.0552,15.0552
7290,-0.481191,-0.218492,-0.671199,14.8453,14.8453
7291,-0.332363,-0.327333,-0.827083,14.6796,14.6796
7292,-0.0758238,0.0853182,-0.879018,15.9795,15.9795
7293,0.198836,0.473731,-1.13353,17.2982,17.2982
7294,0.79989,0.364306,-1.65744,18.29,18.29
7295,0.998135,-0.0752095,-1.70035,18.0398,18.0398
7296,1.00208,-0.0208671,-1.86503,18.0639,18.0639
7297,1.00347,0.00715172,-1.95394,18.0773,18.0773
7298,1.00428,0.0166248,-1.87893,18.1368,18.1368
7299,0.993256,0.00040428,-1.82472,18.0921,18.0921
7300,0.990048,-0.0382192,-1.73511,18.0568,18.0568
7301,0.968126,0.139901,-1.78157,18.3003,18.3003
7302,0.844589,0.338049,-1.67946,18.363,18.363
7303,0.634298,0.506334,-1.51602,18.2271,18.2271
7304,0.560608,0.639533,-1.30168,18.5428,18.5428
7305,0.467885,0.764752,-1.17859,18.7722,18.7722
7306,0.556992,0.79855,-1.12332,19.1562,19.1562
7307,0.640989,0.766224,-1.03568,19.3597,19.3597
7308,0.743698,0.657431,-0.7661,19.5953,19.5953
7309,0.834536,0.459171,-0.476149,19.6899,19.6899
7310,0.629321,0.630263,-0.685257,19.2784,19.2784
7311,0.380257,0.788751,-0.841912,18.9395,18.9395
7312,0.0993889,0.880711,-0.97929,18.4928,18.4928
7313,0.151645,0.949497,-0.859016,18.9562,18.9562
7314,0.203695,0.967018,-0.876529,19.1079,19.1079
7315,0.0145155,0.968015,-1.15701,18.4789,18.4789
7316,-0.174026,0.90989,-1.09977,17.9774,17.9774
7317,-0.355787,0.785886,-0.976648,17.3602,17.3602
7318,-0.40992,0.560422,-0.576735,17.0231,17.0231
7319,-0.459325,0.256422,-0.45574,16.2818,16.2818
7320,-0.93774,0.0372299,0.0267881,16.0217,16.0217
7321,-0.849076,0.0146818,-0.053788,15.9021,15.9021
7322,-0.966399,0.031576,-0.098357,15.7099,15.7099
7323,-0.776728,0.543767,-0.635951,16.3859,16.3859
7324,-0.335685,0.881673,-1.00453,17.7013,17.7013
7325,0.243835,0.882106,-0.879798,18.8961,18.8961
7326,0.744457,0.553513,-0.565995,19.541,19.541
7327,0.547216,0.83519,-1.1379,19.2348,19.2348
7328,0.297321,0.563853,-1.27146,17.6672,17.6672
7329,0.0224152,-0.133716,-1.04747,15.5272,15.5272
7330,-0.924992,-0.186113,-0.31461,14.8651,14.8651
7331,-0.481866,0.857661,-0.919442,17.4839,17.4839
7332,-0.363862,0.917967,-0.9387,17.8556,17.8556
7333,-0.231541,0.961525,-0.939663,18.2221,18.2221
7334,-0.0940973,0.985598,-0.945188,18.5374,18.5374
7335,0.234902,0.955864,-0.970553,19.0444,19.0444
7336,0.537262,0.829615,-0.946921,19.3576,19.3576
7337,0.35755,0.934247,-0.895439,19.3125,19.3125
7338,0.171207,0.92622,-0.908201,18.8657,18.8657
7339,-0.0211102,0.848132,-0.990586,18.1354,18.1354
7340,-0.466203,0.622183,-1.31205,16.3273,16.3273
7341,-0.80578,0.321859,-1.65469,14.6274,14.6274
7342,-0.678702,0.278181,-1.56125,14.7521,14.7521
7343,-0.521866,0.189957,-1.44519,14.8474,14.8474
7344,-0.831224,0.238979,-1.79494,14.2492,14.2492
7345,-0.97537,0.079159,-1.78467,13.6208,13.6208
7346,-0.934779,-0.254212,-1.57785,13.0252,13.0252
7347,-0.764337,-0.487647,-1.49058,12.8755,12.8755
7348,-0.482496,-0.647957,-1.34098,13.2237,13.2237
7349,-0.629574,-0.605171,-1.25164,13.1291,13.1291
7350,-0.758803,-0.520112,-1.29787,13.0193,13.0193
7351,-0.861797,-0.407999,-1.31845,13.0572,13.0572
7352,-0.802442,-0.571609,-0.865508,13.3981,13.3981
7353,-0.733544,-0.545264,-0.478259,14.1582,14.1582
7354,-0.977399,-0.104723,-0.515588,14.6198,14.6198
7355,-0.830922,0.408118,-0.608935,15.9524,15.9524
7356,-0.349287,0.753528,-0.870124,17.3723,17.3723
7357,-0.829787,0.488481,-0.663793,16.1146,16.1146
7358,-0.940752,-0.129135,-0.763201,14.2286,14.2286
7359,-0.124394,-0.874689,-0.973249,14.0432,14.0432
7360,0.891929,-0.350139,-1.42944,17.3535,17.3535
7361,0.701961,0.608838,-1.41417,18.7802,18.7802
7362,0.454578,0.777667,-1.23155,18.7366,18.7366
7363,0.7073,0.647873,-1.13251,19.1199,19.1199
7364,0.89605,0.413051,-1.07885,19.1465,19.1465
7365,0.985903,0.107025,-0.963286,18.8956,18.8956
7366,-0.47051,-0.856212,-1.10097,13.1921,13.1921
7367,-0.442207,0.698701,-1.22687,16.6922,16.6922
7368,-0.202173,0.941066,-1.08403,18.058,18.058
7369,0.0478712,0.910022,-1.07387,18.4061,18.4061
7370,-0.06015,0.985418,-1.1526,18.4089,18.4089
7371,-0.167753,0.814934,-1.2407,17.5289,17.5289
7372,-0.272976,0.470663,-1.3869,16.1113,16.1113
7373,-0.17646,0.467816,-1.11487,16.5216,16.5216
7374,-0.0831177,0.480498,-1.03327,16.8162,16.8162
7375,0.0109555,0.489113,-0.951696,17.1121,17.1121
7376,-0.228381,0.611332,-1.11793,16.8583,16.8583
7377,-0.774981,0.544756,-1.39821,15.5646,15.5646
7378,-0.985899,0.0124035,-1.16892,13.9939,13.9939
7379,-0.770825,-0.583894,-0.860125,13.4319,13.4319
7380,-0.823894,0.523091,-1.14714,15.6635,15.6635
7381,0.255066,0.742023,-0.798077,18.55,18.55
7382,0.929734,0.178514,-0.497889,19.3514,19.3514
7383,0.722271,-0.517226,-0.61312,17.3271,17.3271
7384,-0.177884,-0.72824,-1.22192,13.8432,13.8432
7385,-0.472716,-0.704387,-1.29547,13.1974,13.1974
7386,-0.715946,-0.607575,-1.37393,12.8489,12.8489
7387,-0.130315,-0.93456,-1.07607,13.8244,13.8244
7388,0.506182,-0.808861,-1.08945,15.6878,15.6878
7389,0.907218,-0.273516,-1.39363,17.5594,17.5594
7390,0.927249,-0.223435,-1.24654,17.8315,17.8315
7391,0.942633,-0.156504,-1.17567,18.0608,18.0608
7392,0.95235,-0.0851317,-1.10016,18.2871,18.2871
7393,0.952001,-0.125625,-1.27053,18.0712,18.0712
7394,0.944656,-0.155298,-1.43001,17.8712,17.8712
7395,0.716048,-0.584721,-1.33924,16.4459,16.4459
7396,0.290804,-0.839003,-1.13572,14.9581,14.9581
7397,-0.220779,-0.870247,-0.895898,13.9376,13.9376
7398,-0.67903,-0.668652,-0.685256,13.6952,13.6952
7399,-0.958809,-0.288341,-0.560081,14.183,14.183
7400,-0.887241,-0.421866,-0.533799,14.0636,14.0636
7401,-0.7893,-0.563058,-0.59664,13.8448,13.8448
7402,-0.666333,-0.688629,-0.663726,13.7179,13.7179
7403,-0.522161,-0.793663,-0.731428,13.6949,13.6949
7404,-0.361685,-0.873837,-0.796625,13.7828,13.7828
7405,-0.277904,-0.937106,-0.910671,13.7077,13.7077
7406,-0.199986,-0.924625,-0.966479,13.8171,13.8171
7407,-0.121501,-0.825011,-0.974736,14.1157,14.1157
7408,-0.0429237,-0.646874,-0.939718,14.5969,14.5969
7409,0.0353049,-0.408013,-0.873112,15.246,15.246
7410,-0.0533228,-0.0433096,-0.954809,15.6526,15.6526
7411,-0.149508,0.328193,-1.04308,16.2551,16.2551
7412,-0.245463,0.63833,-1.08731,16.9432,16.9432
7413,-0.340013,0.834548,-1.05656,17.476,17.476
7414,-0.43226,0.888243,-0.940021,17.6444,17.6444
7415,-0.599954,0.78054,-0.835937,17.1399,17.1399
7416,-0.750505,0.622383,-0.714853,16.5622,16.5622
7417,-0.867332,0.433559,-0.567076,16.0428,16.0428
7418,-0.944789,0.236016,-0.414311,15.6449,15.6449
7419,-0.979314,0.0520779,-0.278995,15.3888,15.3888
7420,-0.761619,0.540105,-0.540927,16.5265,16.5265
7421,-0.260146,0.896104,-0.819348,18.063,18.063
7422,0.338497,0.908902,-0.941012,19.1388,19.1388
7423,0.811032,0.547469,-0.850925,19.4176,19.4176
7424,0.981775,-0.024392,-0.659766,18.9502,18.9502
7425,0.965349,-0.138725,-0.659461,18.6922,18.6922
7426,0.93912,-0.226062,-0.522298,18.6241,18.6241
7427,0.897657,-0.278096,-0.420932,18.5328,18.5328
7428,0.841765,-0.287515,-0.362697,18.41,18.41
7429,0.772409,-0.25124,-0.350906,18.2548,18.2548
7430,0.421319,-0.164079,-0.583325,17.0267,17.0267
7431,-0.00838123,0.0412394,-1.00508,15.8791,15.8791
7432,-0.43913,0.239018,-1.42043,15.1373,15.1373
7433,-0.783799,0.295973,-1.68561,14.5582,14.5582
7434,-0.97284,0.144126,-1.72238,13.8478,13.8478
7435,-0.867148,0.366357,-1.52178,14.7837,14.7837
7436,-0.696176,0.608224,-1.31883,15.9451,15.9451
7437,-0.468473,0.813644,-1.13879,17.1304,17.1304
7438,-0.20263,0.942821,-1.0213,18.1216,18.1216
7439,0.0788108,0.97014,-0.991862,18.7563,18.7563
